Order Date,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode
01-01-2019,Gaithersburg,Maryland,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,Online
02-01-2019,Gaithersburg,Maryland,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,Online
02-01-2019,Gaithersburg,Maryland,East,Technology,Phones,GE 30522EE2,231.98,2,67.2742,Cards
03-01-2019,Los Angeles,California,West,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,Online
03-01-2019,San Antonio,Texas,Central,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,Online
03-01-2019,San Antonio,Texas,Central,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,Online
03-01-2019,San Antonio,Texas,Central,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,Cards
03-01-2019,Broken Arrow,Oklahoma,Central,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,COD
03-01-2019,Broken Arrow,Oklahoma,Central,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,COD
04-01-2019,Charlotte,North Carolina,South,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,Online
04-01-2019,Philadelphia,Pennsylvania,East,Office Supplies,Art,Newell 312,4.672,1,0.584,Online
04-01-2019,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,Online
05-01-2019,Jacksonville,Florida,South,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,COD
05-01-2019,Jacksonville,Florida,South,Office Supplies,Art,Newell 337,5.248,2,0.5904,Online
05-01-2019,Jacksonville,Florida,South,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,COD
07-01-2019,Oakland,California,West,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,COD
07-01-2019,Amarillo,Texas,Central,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,COD
07-01-2019,Amarillo,Texas,Central,Office Supplies,Paper,Xerox 212,25.92,5,9.072,Cards
08-01-2019,Franklin,Wisconsin,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,Online
08-01-2019,Franklin,Wisconsin,Central,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,Cards
08-01-2019,Raleigh,North Carolina,South,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,Cards
08-01-2019,Raleigh,North Carolina,South,Office Supplies,Art,Newell 319,47.616,3,5.952,COD
08-01-2019,Raleigh,North Carolina,South,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,COD
09-01-2019,Fresno,California,West,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,COD
09-01-2019,Fresno,California,West,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,Cards
09-01-2019,Toledo,Ohio,East,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,Cards
10-01-2019,Seattle,Washington,West,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,Cards
10-01-2019,Seattle,Washington,West,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,COD
10-01-2019,Longview,Washington,West,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,Cards
11-01-2019,Springfield,Ohio,East,Office Supplies,Paper,Xerox 2,15.552,3,5.4432,Online
11-01-2019,Springfield,Ohio,East,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,Cards
11-01-2019,Springfield,Ohio,East,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,Online
11-01-2019,Columbus,Ohio,East,Furniture,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,Online
14-01-2019,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1882,89.568,2,32.4684,Cards
14-01-2019,Concord,North Carolina,South,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,Online
15-01-2019,Westfield,New Jersey,East,Office Supplies,Envelopes,Quality Park Security Envelopes,52.34,2,24.5998,Cards
15-01-2019,Westfield,New Jersey,East,Office Supplies,Art,American Pencil,4.66,2,1.3514,COD
15-01-2019,Westfield,New Jersey,East,Technology,Accessories,Logitech Gaming G510s - Keyboard,254.97,3,91.7892,Cards
15-01-2019,Fairfield,Connecticut,East,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,COD
15-01-2019,New York City,New York,East,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,4,7.5992,Online
15-01-2019,New York City,New York,East,Office Supplies,Paper,Xerox 1959,60.12,9,28.8576,COD
15-01-2019,New York City,New York,East,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,Cards
15-01-2019,New York City,New York,East,Office Supplies,Paper,Xerox 1893,81.98,2,40.1702,Online
16-01-2019,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,Cards
16-01-2019,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,COD
17-01-2019,Concord,New Hampshire,East,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,COD
17-01-2019,Concord,New Hampshire,East,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,13.1956,Online
17-01-2019,Concord,New Hampshire,East,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,66.9546,Online
17-01-2019,Columbus,Georgia,South,Technology,Accessories,First Data FD10 PIN Pad,316,4,31.6,Online
21-01-2019,San Diego,California,West,Furniture,Chairs,Global Super Steno Chair,153.568,2,-5.7588,COD
21-01-2019,San Diego,California,West,Furniture,Chairs,Global Ergonomic Managers Chair,1013.488,7,76.0116,COD
22-01-2019,Morristown,New Jersey,East,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0.3024,COD
22-01-2019,Fayetteville,North Carolina,South,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,COD
22-01-2019,Fayetteville,North Carolina,South,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,COD
22-01-2019,Fayetteville,North Carolina,South,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,COD
22-01-2019,Seattle,Washington,West,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,Online
22-01-2019,Seattle,Washington,West,Office Supplies,Paper,Xerox 218,12.96,2,6.2208,Online
22-01-2019,San Diego,California,West,Office Supplies,Labels,Avery 475,44.4,3,22.2,Online
22-01-2019,San Diego,California,West,Office Supplies,Labels,Avery 476,20.65,5,9.499,Online
22-01-2019,Cleveland,Ohio,East,Technology,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,Online
22-01-2019,Cleveland,Ohio,East,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,Cards
22-01-2019,New York City,New York,East,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,Online
23-01-2019,Los Angeles,California,West,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,Online
23-01-2019,Burlington,Vermont,East,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,COD
23-01-2019,Burlington,Vermont,East,Office Supplies,Art,4009 Highlighters,8.04,6,2.7336,COD
23-01-2019,Burlington,Vermont,East,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,Online
